year,buy,sell,test_CAGR,test_Sharpe,test_MDD,train_sharpe
2019,0.52,0.35,0.5414933603935019,0.9594674640198785,0.4898281300068477,-1.0156840116151467
2020,0.52,0.35,1.6098345659251878,2.692997173763642,0.5186169126186413,0.9594674640198785
2021,0.52,0.35,0.36923422601541733,0.5534191491062054,0.5306185040984175,2.692997173763642
2022,0.52,0.35,-0.518449817919529,-0.9845768213595766,0.6689381539248922,0.5534191491062054
2023,0.52,0.35,0.9044416711536103,2.490486833773915,0.20057773342913235,-0.9845768213595766
2024,0.52,0.35,0.6750707273662335,1.524038908893152,0.26182033008476613,2.490486833773915
