year,buy,sell,test_CAGR,test_Sharpe,test_MDD,train_sharpe
2016,0.52,0.35,0.18207241961644804,0.7114850177135837,0.1757698146242443,0.09149735766356244
2017,0.52,0.35,1.9583388631644874,3.533307445610526,0.3324634555482363,0.7114850177135837
2018,0.52,0.38999999999999996,-0.5873963761617556,-1.041539666623376,0.7539560916309204,3.549322385609422
2019,0.52,0.41,0.39055435389101745,0.8841385975140555,0.503008123096824,-1.0236194706675465
2020,0.52,0.35,0.29707451681103336,0.6096583258928304,0.5799960591555238,0.8841385975140555
2021,0.52,0.35,0.09076176209900066,0.19722314351028897,0.34111056440750603,0.6096583258928304
2022,0.52,0.38999999999999996,-0.478185867858558,-0.9519451139476972,0.6307770907819201,0.2857823456348479
2023,0.52,0.42,0.9044416711536103,2.490486833773915,0.20057773342913235,-0.8765148707810158
2024,0.52,0.35,0.6750707273662335,1.524038908893152,0.26182033008476613,2.490486833773915
