year,kappa,buy,sell,CAGR,Sharpe,MDD
2016,-0.9,0.52,0.35,0.7971384146929019,2.3799848200396982,0.28558094302037607
2017,-0.9,0.52,0.35,4.288639485358612,5.702843533618224,0.35508101939187375
2018,-0.9,0.52,0.35,-0.5416357335676435,-1.0429637625928883,0.7206047530435888
2019,-0.9,0.52,0.35,0.5259715074582776,0.9764450898288309,0.48982813000684716
2020,-0.9,0.52,0.35,1.2795053565905965,2.238178382575565,0.4551095558983275
2021,-0.9,0.52,0.35,-0.03796164466966878,-0.06747947415280046,0.5306185040984167
2022,-0.9,0.52,0.35,-0.4509984129769665,-0.9662209596800455,0.6673961608979901
2023,-0.9,0.52,0.35,0.547374092454906,1.6947231869550028,0.20057773342913254
2024,-0.9,0.52,0.35,0.23950902927355378,0.5962982136427579,0.2618203300847664
2025,-0.9,0.52,0.35,0.3754736995668482,1.3233080970513762,0.15920673310680156
