year,buy,sell,test_CAGR,test_Sharpe,test_MDD,train_sharpe
2016,0.52,0.35,0.7311077534439239,1.8349084488178542,0.2855809430203765,0.42566510849769046
2017,0.52,0.35,5.239260296253314,6.623070221770383,0.35508101939187386,1.8349084488178542
2018,0.52,0.35,-0.5908645515688556,-0.8791312822270009,0.8153271113852913,6.623070221770383
2019,0.52,0.35,0.5414933603935019,0.9594674640198785,0.4898281300068477,-0.8791312822270009
2020,0.52,0.35,1.6098345659251878,2.692997173763642,0.5186169126186413,0.9594674640198785
2021,0.52,0.35,0.36923422601541733,0.5534191491062054,0.5306185040984175,2.692997173763642
2022,0.52,0.35,-0.518449817919529,-0.9845768213595766,0.6689381539248922,0.5534191491062054
2023,0.52,0.35,0.9044416711536103,2.490486833773915,0.20057773342913235,-0.9845768213595766
2024,0.52,0.35,0.6750707273662335,1.524038908893152,0.26182033008476613,2.490486833773915
